2026-07-23 16:36:09 | INFO    | monitor | ======================================================================
2026-07-23 16:36:09 | INFO    | monitor | Portfolio monitor starting — 2026-07-23T16:36:09.827994+00:00
2026-07-23 16:36:09 | INFO    | monitor | ======================================================================
2026-07-23 16:36:09 | INFO    | monitor.portfolio | Loaded 6 unique tickers from portfolio.csv
2026-07-23 16:36:09 | INFO    | monitor.data | Downloading daily bars for 6 tickers (attempt 1)...
2026-07-23 16:36:10 | INFO    | monitor.data | Normalised bars for 6/6 tickers
2026-07-23 16:36:11 | INFO    | monitor.data | Intraday snapshots populated for 6/6 tickers
2026-07-23 16:36:11 | INFO    | monitor |   AAPL        ok         lastC=325.89  todayO=321.73  now=320.25  signals=[-]
2026-07-23 16:36:11 | INFO    | monitor |   MSFT        TRIGGERED  lastC=390.34  todayO=389.96  now=380.44  signals=[ma_break]
2026-07-23 16:36:11 | INFO    | monitor |   NVDA        ok         lastC=212.06  todayO=209.40  now=209.73  signals=[-]
2026-07-23 16:36:11 | INFO    | monitor |   0700.HK     TRIGGERED  lastC=440.60  todayO=440.20  now=445.20  signals=[ma_break]
2026-07-23 16:36:11 | INFO    | monitor |   7203.T      ok         lastC=2939.00  todayO=2926.00  now=2929.50  signals=[-]
2026-07-23 16:36:11 | INFO    | monitor |   SPY         ok         lastC=747.41  todayO=739.37  now=739.23  signals=[-]
2026-07-23 16:36:11 | INFO    | monitor | ----------------------------------------------------------------------
2026-07-23 16:36:11 | INFO    | monitor | Summary: 2 triggered / 4 healthy / 6 total
2026-07-23 16:36:12 | INFO    | monitor.alerts | Opened issue #1
2026-07-23 16:36:12 | INFO    | monitor | Monitor run complete.
2026-07-23 16:49:57 | INFO    | monitor | ======================================================================
2026-07-23 16:49:57 | INFO    | monitor | Portfolio monitor starting — 2026-07-23T16:49:57.310238+00:00
2026-07-23 16:49:57 | INFO    | monitor | ======================================================================
2026-07-23 16:49:57 | INFO    | monitor.portfolio | Loaded 6 unique tickers from portfolio.csv
2026-07-23 16:49:57 | INFO    | monitor.data | Downloading daily bars for 6 tickers (attempt 1)...
2026-07-23 16:49:58 | INFO    | monitor.data | Normalised bars for 6/6 tickers
2026-07-23 16:49:58 | INFO    | monitor.data | Intraday snapshots populated for 6/6 tickers
2026-07-23 16:49:58 | INFO    | monitor |   AAPL        ok         lastC=325.89  todayO=321.73  now=320.33  signals=[-]
2026-07-23 16:49:58 | INFO    | monitor |   MSFT        TRIGGERED  lastC=390.34  todayO=389.96  now=379.98  signals=[ma_break]
2026-07-23 16:49:58 | INFO    | monitor |   NVDA        ok         lastC=212.06  todayO=209.40  now=209.72  signals=[-]
2026-07-23 16:49:58 | INFO    | monitor |   0700.HK     TRIGGERED  lastC=440.60  todayO=440.20  now=445.20  signals=[ma_break]
2026-07-23 16:49:58 | INFO    | monitor |   7203.T      ok         lastC=2939.00  todayO=2926.00  now=2929.50  signals=[-]
2026-07-23 16:49:58 | INFO    | monitor |   SPY         ok         lastC=747.41  todayO=739.37  now=738.04  signals=[-]
2026-07-23 16:49:58 | INFO    | monitor | ----------------------------------------------------------------------
2026-07-23 16:49:58 | INFO    | monitor | Summary: 2 triggered / 4 healthy / 6 total
2026-07-23 16:49:59 | INFO    | monitor.alerts | Added comment to existing issue #1 (dedupe hit).
2026-07-23 16:49:59 | INFO    | monitor | Monitor run complete.
2026-07-23 16:58:11 | INFO    | monitor | ======================================================================
2026-07-23 16:58:11 | INFO    | monitor | Portfolio monitor starting — 2026-07-23T16:58:11.548278+00:00
2026-07-23 16:58:11 | INFO    | monitor | ======================================================================
2026-07-23 16:58:11 | INFO    | monitor.portfolio | Loaded 6 unique tickers from portfolio.csv
2026-07-23 16:58:11 | INFO    | monitor.data | Downloading daily bars for 6 tickers (attempt 1)...
2026-07-23 16:58:13 | INFO    | monitor.data | Normalised bars for 6/6 tickers
2026-07-23 16:58:13 | INFO    | monitor.data | Intraday snapshots populated for 6/6 tickers
2026-07-23 16:58:13 | INFO    | monitor |   AAPL        ok         lastC=325.89  todayO=321.73  now=320.51  signals=[-]
2026-07-23 16:58:13 | INFO    | monitor |   MSFT        TRIGGERED  lastC=390.34  todayO=389.96  now=381.06  signals=[ma_break]
2026-07-23 16:58:13 | INFO    | monitor |   NVDA        ok         lastC=212.06  todayO=209.40  now=209.64  signals=[-]
2026-07-23 16:58:13 | INFO    | monitor |   0700.HK     TRIGGERED  lastC=440.60  todayO=440.20  now=445.20  signals=[ma_break]
2026-07-23 16:58:13 | INFO    | monitor |   7203.T      ok         lastC=2939.00  todayO=2926.00  now=2929.50  signals=[-]
2026-07-23 16:58:13 | INFO    | monitor |   SPY         ok         lastC=747.41  todayO=739.37  now=738.17  signals=[-]
2026-07-23 16:58:13 | INFO    | monitor | ----------------------------------------------------------------------
2026-07-23 16:58:13 | INFO    | monitor | Summary: 2 triggered / 4 healthy / 6 total
2026-07-23 16:58:14 | INFO    | monitor.alerts | Added comment to existing issue #1 (dedupe hit).
2026-07-23 16:58:14 | INFO    | monitor | Monitor run complete.
